itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
1,1,49697,356915,UA,1444, ,18, ,2,J,UA,1444,IAH,EWR
2,1,67020,482020,UA,1797, ,11, ,1,J,UA,1797,IAH,EWR
3,1,71439,513824,UA,1886, ,4, ,1,J,UA,1886,IAH,EWR
4,1,35171,251773,UA,1126, ,16, ,1,J,UA,1126,IAH,EWR
5,1,105301,762043,UA,2608, ,7, ,2,J,UA,2608,IAH,EWR
6,1,24710,178905,UA,700, ,17, ,1,J,UA,700,IAH,EWR
7,1,86229,621889,UA,2175, ,12, ,1,J,UA,2175,IAH,EWR
8,1,10023,71579,UA,404, ,10, ,2,J,UA,404,IAH,EWR
9,1,47667,342391,UA,1397, ,16, ,1,J,UA,1397,IAH,EWR
10,1,2484,16586,UA,222, ,13, ,2,J,UA,222,IAH,BNA
10,2,2485,16594,UA,222, ,13, ,3,J,UA,222,BNA,EWR
11,1,157198,150852,UA,6312, ,2, ,1,J,UA,6312,IAH,CVG
11,2,130581,947612,UA,4521, ,12, ,1,J,UA,4521,CVG,EWR
12,1,32101,231066,UA,1030, ,8, ,1,J,UA,1030,IAH,ATL
12,2,2391,15901,UA,217, ,15, ,1,J,UA,217,ATL,EWR
13,1,122592,893195,UA,3988, ,2, ,1,J,UA,3988,IAH,CLT
13,2,115743,840450,UA,3442, ,6, ,1,J,UA,3442,CLT,EWR
14,1,122542,892849,UA,3985, ,3, ,1,J,UA,3985,IAH,PIT
14,2,119943,873025,UA,3623, ,11, ,1,J,UA,3623,PIT,EWR
15,1,124156,904033,UA,4071, ,6, ,1,J,UA,4071,IAH,CMH
15,2,121326,883900,UA,3675, ,4, ,1,J,UA,3675,CMH,EWR
16,1,54230,389142,UA,1536, ,8, ,1,J,UA,1536,IAH,CVG
16,2,127702,927857,UA,4390, ,16, ,1,J,UA,4390,CVG,EWR
