itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
1,1,143735,47084,UA,5419, ,7, ,1,J,UA,5419,LFT,IAH
1,2,182274,249710,UA,8021, ,1, ,1,J,AC,592,IAH,YYZ
2,1,127217,924502,UA,4358, ,3, ,1,J,UA,4358,LFT,IAH
2,2,5713,39541,UA,313, ,4, ,1,J,UA,313,IAH,YYZ
3,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
3,2,105263,761800,UA,2606, ,4, ,1,J,UA,2606,IAH,YYZ
4,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
4,2,105263,761800,UA,2606, ,4, ,1,J,UA,2606,IAH,YYZ
5,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
5,2,182274,249710,UA,8021, ,1, ,1,J,AC,592,IAH,YYZ
6,1,127193,924335,UA,4356, ,12, ,1,J,UA,4356,LFT,IAH
6,2,5713,39541,UA,313, ,4, ,1,J,UA,313,IAH,YYZ
7,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
7,2,182274,249710,UA,8021, ,1, ,1,J,AC,592,IAH,YYZ
8,1,143735,47084,UA,5419, ,7, ,1,J,UA,5419,LFT,IAH
8,2,5713,39541,UA,313, ,4, ,1,J,UA,313,IAH,YYZ
9,1,143735,47084,UA,5419, ,7, ,1,J,UA,5419,LFT,IAH
9,2,99879,722538,UA,2417, ,15, ,1,J,UA,2417,IAH,ORD
9,3,186607,273338,UA,8308, ,8, ,1,J,AC,508,ORD,YYZ
10,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
10,2,86830,626446,UA,2182, ,6, ,1,J,UA,2182,IAH,ORD
10,3,121261,883385,UA,3674, ,4, ,1,J,UA,3674,ORD,YYZ
11,1,143735,47084,UA,5419, ,7, ,1,J,UA,5419,LFT,IAH
11,2,59663,428178,UA,1651, ,11, ,2,J,UA,1651,IAH,BNA
11,3,183830,258096,UA,8114, ,3, ,1,J,AC,8856,BNA,YYZ
12,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
12,2,54899,394054,UA,1549, ,12, ,1,J,UA,1549,IAH,IAD
12,3,116876,849370,UA,3490, ,2, ,1,J,UA,3490,IAD,YYZ
13,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
13,2,83830,603991,UA,2124, ,7, ,1,J,UA,2124,IAH,ORD
13,3,140763,23361,UA,5271, ,4, ,1,J,UA,5271,ORD,YYZ
14,1,143735,47084,UA,5419, ,7, ,1,J,UA,5419,LFT,IAH
14,2,135775,986663,UA,4792, ,3, ,1,J,UA,4792,IAH,CLT
14,3,186678,273732,UA,8316, ,2, ,1,J,AC,8748,CLT,YYZ
15,1,143735,47084,UA,5419, ,7, ,1,J,UA,5419,LFT,IAH
15,2,97225,703013,UA,2366, ,15, ,2,J,UA,2366,IAH,IAD
15,3,116038,842835,UA,3453, ,2, ,1,J,UA,3453,IAD,YYZ
16,1,127193,924335,UA,4356, ,12, ,1,J,UA,4356,LFT,IAH
16,2,13302,95419,UA,477, ,14, ,2,J,UA,477,IAH,ORD
16,3,69462,499703,UA,1845, ,3, ,1,J,UA,1845,ORD,YYZ
17,1,143735,47084,UA,5419, ,7, ,1,J,UA,5419,LFT,IAH
17,2,26687,193141,UA,744, ,14, ,2,J,UA,744,IAH,CLE
17,3,184035,259202,UA,8133, ,4, ,1,J,AC,8732,CLE,YYZ
18,1,127193,924335,UA,4356, ,12, ,1,J,UA,4356,LFT,IAH
18,2,155841,141720,UA,6180, ,3, ,1,J,UA,6180,IAH,LGA
18,3,182333,250013,UA,8024, ,12, ,1,J,AC,8997,LGA,YYZ
19,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
19,2,156665,147255,UA,6247, ,3, ,1,J,UA,6247,IAH,LGA
19,3,182261,249637,UA,8020, ,4, ,1,J,AC,8989,LGA,YYZ
20,1,143735,47084,UA,5419, ,7, ,1,J,UA,5419,LFT,IAH
20,2,154944,135602,UA,6119, ,2, ,1,J,UA,6119,IAH,DTW
20,3,184238,260330,UA,8150, ,1, ,1,J,AC,8776,DTW,YYZ
21,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
21,2,76070,547543,UA,1977, ,4, ,1,J,UA,1977,IAH,BOS
21,3,189808,290632,UA,8539, ,1, ,1,J,AC,8693,BOS,YYZ
