itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
1,1,34107,244233,UA,1097, ,19, ,2,J,UA,1097,ORD,SFO
2,1,43398,310123,UA,1334, ,14, ,1,J,UA,1334,ORD,SFO
3,1,26590,192457,UA,742, ,11, ,1,J,UA,742,ORD,SFO
4,1,6853,47712,UA,343, ,4, ,1,J,UA,343,ORD,SFO
5,1,13485,96674,UA,483, ,9, ,1,J,UA,483,ORD,SFO
6,1,86509,623982,UA,2179, ,18, ,2,J,UA,2179,ORD,SFO
7,1,42500,303548,UA,1318, ,11, ,1,J,UA,1318,ORD,SFO
8,1,52207,374566,UA,1498, ,21, ,1,J,UA,1498,ORD,SFO
9,1,55990,401861,UA,1577, ,7, ,2,J,UA,1577,ORD,SFO
10,1,58696,421312,UA,1633, ,4, ,1,J,UA,1633,ORD,SFO
11,1,110075,798138,UA,2684, ,12, ,2,J,UA,2684,ORD,JAC
11,2,110076,798145,UA,2684, ,12, ,3,J,UA,2684,JAC,SFO
12,1,97019,701539,UA,2361, ,3, ,1,J,UA,2361,ORD,LAX
12,2,66608,478970,UA,1791, ,14, ,1,J,UA,1791,LAX,SFO
13,1,67533,485889,UA,1803, ,6, ,2,J,UA,1803,ORD,DEN
13,2,67915,488547,UA,1812, ,3, ,1,J,UA,1812,DEN,SFO
14,1,2274,15076,UA,215, ,19, ,2,J,UA,215,ORD,LAS
14,2,67161,483088,UA,1799, ,11, ,2,J,UA,1799,LAS,SFO
15,1,32713,234919,UA,1049, ,12, ,1,J,UA,1049,ORD,DEN
15,2,55224,396294,UA,1561, ,13, ,1,J,UA,1561,DEN,SFO
16,1,106241,769439,UA,2616, ,8, ,2,J,UA,2616,ORD,DEN
16,2,107024,775115,UA,2633, ,2, ,1,J,UA,2633,DEN,SFO
17,1,84506,609235,UA,2138, ,14, ,2,J,UA,2138,ORD,SLC
17,2,149875,95730,UA,5732, ,8, ,1,J,UA,5732,SLC,SFO
18,1,96507,697900,UA,2347, ,19, ,1,J,UA,2347,ORD,DEN
18,2,115,792,UA,9, ,2, ,2,J,UA,9,DEN,SFO
19,1,104210,754118,UA,2494, ,7, ,2,J,UA,2494,ORD,DEN
19,2,83770,603542,UA,2123, ,8, ,2,J,UA,2123,DEN,SFO
20,1,111430,808287,UA,2748, ,10, ,1,J,UA,2748,ORD,LAS
20,2,18327,131939,UA,574, ,17, ,2,J,UA,574,LAS,SFO
21,1,122361,891923,UA,3750, ,13, ,1,C,UA,3750,ORD,LAX
21,2,39884,285152,UA,1245, ,12, ,1,J,UA,1245,LAX,SFO
22,1,107745,780439,UA,2649, ,14, ,1,J,UA,2649,ORD,DEN
22,2,39005,278850,UA,1224, ,7, ,1,J,UA,1224,DEN,SFO
23,1,79702,573578,UA,2053, ,13, ,2,J,UA,2053,ORD,PHX
23,2,76457,550411,UA,1986, ,19, ,1,J,UA,1986,PHX,SFO
24,1,152881,119521,UA,5928, ,4, ,1,J,UA,5928,ORD,BOI
24,2,141467,28866,UA,5312, ,5, ,1,J,UA,5312,BOI,SFO
25,1,8845,63146,UA,374, ,10, ,1,J,UA,374,ORD,LAX
25,2,36782,263063,UA,1168, ,4, ,1,J,UA,1168,LAX,SFO
26,1,18587,133967,UA,576, ,17, ,2,J,UA,576,ORD,LAX
26,2,143605,46012,UA,5414, ,6, ,1,J,UA,5414,LAX,SFO
27,1,130394,946255,UA,4516, ,2, ,1,J,UA,4516,ORD,STL
27,2,152652,117708,UA,5907, ,3, ,1,J,UA,5907,STL,SFO
28,1,71361,513278,UA,1883, ,10, ,1,J,UA,1883,ORD,DEN
28,2,115,792,UA,9, ,2, ,2,J,UA,9,DEN,SFO
29,1,70996,510666,UA,1875, ,24, ,3,J,UA,1875,ORD,LAS
